"Export Settings,"Export Settings"
"Choose the website to export these orders,"Selecione o website a serem exportados os pedidos "
"Run Export CSV,"lançar exportação em CSV"
"Yes,"Sim"
"No,"Não"
"Until,"até"
"1 week,"1 semana"
"2 weeks,"2 semanas"
"1 month,"1 mês"
"2 months,"2 meses"
"3 months,"3 meses"
"4 months,"4 meses"
"5 months,"5 meses"
"6 months,"6 meses"
"7 months,"7 meses"
"8 months,"8 meses"
"9 months,"9 meses"
"10 months,"10 meses"
"11 months,"11 meses"
"12 months,"12 meses"
"Request product\'s review?,"Pedido opinião produto\'s ?"
"Verified Reviews Tabs,"Opiniões Verificadas Tabela"
"Export,"Export"
"Verified Reviews Form,"Opiniões Verificadas Forma"
"version,"versão"
"Form,"Forma"
"VerifiedReviews,"OpiniõesVerificadas"
"Management,"Management"
"Configuration,"Configuração"
"Check Installation,"Verifique Instalação"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set,"Você deve definir a configuração Opiniões Verificadas de acordo com módulo do website. Selecione na lista à esquerda o site que deseja configurar"
"System integration,"Sistema de integração"
"Enable Module on this Website,"Ativa módulo nesse Website"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration,"Ao ativar o módulo , você ira coletar as opiniões referentes ao site. Para obter as opiniões dos produtos, va¡ até a última parte da configuração"
"IdWebsite,"IdWebsite"
"Secret Key,"Chave Secreta"
"Status,"Status"
"Number of reviews,"Número de opiniões"
"Average rating,"Média das notas"
"View the trust certificate,"Exibir o selo de confiança"
"More Reviews...,"Mais opiniões..."
"Product Reviews,"Opiniões dos produtos"
"No reviews for this product.,"Não há opiniões para este produto."
"the,"O"
"d/m/Y,"d/m/a"
"Comments of,"Comentários de"
"Webmaster,"Webmaster"
"Moderator,"Mediador"
"on,"em"
"Show conversation,"Exibir a conversa"
"Hide conversation,"Não exibir a conversa"
"%d Review(s),"%d Opinião(ões)"
"%d Review,"%d Opinião"
"%d Reviews,"%d Opiniões"
"See the review(s),"Vere a(s) opinião(ões)"
